x,y,z
67758.92,104800,27160
64485.18,112900,26200
57710.76,95900,25900
56675.47,103000,5936
60343.56,101400,25965
70891.42,114500,10825
62008.99,109500,26030
54592.99,102000,26600
69737.68,101500,26150
60078.99,108900,7528
65601.28,112000,37650
64052.84,127900,38200
44968.88,102200,21000
47617.36,102800,8150
51636.62,93100,7754
59287.73,114300,10936
53919.37,97700,17810
59042.66,115900,10744
42103.85,104700,8098
48948.11,106900,7608
63568.77,106800,9120
35782.96,96500,18840
55916.29,97000,24000
64733.74,101600,29153
50387.75,104700,9482
58549.24,111400,33900
51069.58,88800,16252
44602.47,87100,7063
39416.07,95000,6158
57504.74,116300,9714
47946.96,102900,6903
46322.14,96900,15070
46738.12,110500,8854
67759.61,113400,37830
47295.56,102900,7290
51940.24,103400,8004
49304.74,103000,7348
43063.22,105400,7658
43125.41,100800,7006
54007.12,101000,11444
53084.32,103000,7280
47090.8,106900,8256
69803.28,134600,49638
55657.89,105000,22349
80130.48,136300,49120
54908.38,109000,10610
64934.4,107000,34760
63952.22,98900,32620
58065.5,98400,7796
65721.01,97200,8326
77046.6,88300,7660
73053.75,102300,23508
69837.96,82100,22790
54222.17,88800,7346
70221.41,95500,8488
81539.46,145300,48710
83010.29,120900,11006
90010.73,131500,9996
80395.11,114000,43870
66039.83,83400,7625
63566.62,87800,7508
81781.05,101300,37500
70799.46,108700,33670
85886.58,114500,13895
80470.71,108100,9182
74334.54,100600,30998
83552.93,107400,39500
62232.99,88700,31870
82187.65,145100,50562
82978.89,131700,46784
82419.5,124400,44085
83893.95,138000,49324
83140.68,130300,48436
85221.28,136000,49598
75059.92,99600,8903
77762.42,94100,36765
69305.79,97800,29880
80699.66,121100,41052
71253.32,99300,9935
80769.61,97500,8700
80002.32,111200,35386
76879.55,149700,45278
77012.29,96600,32000
73324.38,106600,25095
76546.63,119700,13427
78424.73,122600,14171
68463.25,105500,12682
72630.13,107000,30530
75629.56,108600,11725
77426.3,150700,46704
73378.33,90600,32300
80190.89,143500,45530
59687.78,97600,32280
58088.78,77500,27050
77652.59,116300,37380
64281.13,104200,34455
72067.31,102500,12588
76214.79,102400,33934
82793.69,142400,50604
81018.79,136900,46836
76699.8,110400,32500
76363.81,108000,34030
72419.11,100100,8815
76696.63,94400,33835
77966.2,144200,50070
68531.82,102000,8857
66915.1,100800,33610
71425.7,110400,39313
61676.21,111000,35428
63096.48,109100,27000
64829.33,109000,28820
70660.49,120200,30660
66048.2,104900,11850
74293.04,107000,38950
64142.33,112200,38626
"69,989,102,910,417",0,
61040.62,100900,10970
70813.57,120400,38430
67198.25,109000,11363
72371.25,120500,30550
53637.55,102700,10580
73119.88,115600,30300
72787.1,103000,18740
72043.03,94900,21028
77145.9,138400,13856
72140.18,115900,13560
61737.2,120700,14286
67620.59,110500,11304
64807.7,99200,9936
57050.02,101100,9620
64809.96,102600,24170
78696.54,107000,11344
62696.44,93100,24816
68721.86,101000,19544
57827.75,103000,8968
63208.96,102700,23750
61521.97,107300,25510
61912.62,107000,11814
69141.32,103000,11029
72224.74,103200,35465
55158.96,101000,8366
62776.68,107400,25170
77038.37,112700,34140
71070.84,140000,49263
70958.04,112700,37886
71692.75,135800,48887
66314.89,103000,7836
70741.62,128800,13790
55080.02,102600,11646
70094.27,109600,35326
68076.22,110900,13082
63548.87,114600,12846
54641.42,104900,8096
65000.36,102400,21586
70065.41,110200,28730
53222.25,93000,16165
70918.96,111800,40846
66422.48,103000,7814
71469.52,114800,40226
70833.22,104600,31335
75732.77,128200,42940
68899.21,101900,23740
60287.14,106700,33994
76939.14,120200,38105
71786.79,103200,35500
56697.45,100800,8326
68678.3,105000,9047
39124.62,97000,6112
56763.17,116300,35510
53374.26,111800,7444
43147.25,101200,5781
52824.92,110600,16064
46465.5,114000,7502
46990.98,104900,7334
45401.66,107100,11700
67638.05,98600,26450
57236.66,98500,11900
49478.5,104300,22360
57730.2,101000,7322
61289.57,104900,19300
52894.01,96800,24900
45736.92,118500,24905
58696.81,106400,21436
60924.15,105000,23790
67668.37,107300,35270
68730.21,104300,16022
70678.19,114500,26958
62761.71,96100,23886
"4,621,710,305,523",0,
66484.66,120300,9509
63187.36,113000,7837
59935.86,126100,9048
64068.51,110500,9394
64318.95,124600,7456
55791.06,104700,6767
68699.32,116200,34790
72169.74,125700,39226
49841.76,105800,21908
61398.11,103600,29176
51305.92,105000,6990
56273.4,109000,7060
79298.58,146900,48093
66464.45,110900,25500
62575.25,108400,23480
66156.47,116000,32330
58051.44,103500,22160
55326.09,111000,30754
53207.14,113100,6849
50573.68,109000,6158
51454.11,103700,25742
60450.28,107600,27110
68443.5,119600,36422
57123.16,106400,28790
58174.49,105500,27300
51335.53,104900,6711
66043.01,105000,6898
59199.51,112100,29800
60976.73,114500,8367
60804.76,105000,21970
57118.86,95000,17200
70070.97,100700,6943
68050.29,108400,6902
71252.07,101200,29994
79834.73,143700,49506
72941.72,94300,33320
77484.55,110900,16986
75913.18,99100,13228
77484.55,101000,14143
62332.64,85500,27800
80563.66,96900,31200
87083.61,92900,31754
80740.5,99500,36910
74826.3,87800,31235
80740.5,103400,39092
78770.86,94500,31618
76692.58,106500,12864
58259.31,86500,11180
76062.13,92800,11581
87615.47,103700,33729
75892.84,120500,16108
81428.25,149000,43450
88597.61,109000,13698
85423.56,101400,38360
82669.68,102000,14000
82669.68,122500,14131
82669.68,103000,13597
63508.52,91800,34198
79591.86,114500,38072
82332.62,80600,31688
83951.71,134000,47190
73199.66,107400,12820
86752.57,122700,15466
80256.1,99000,12365
42974.58,94700,4858
52104.89,119100,6613
49538.77,104000,7071
43867.23,98300,6094
80864.95,109400,34034
60872.01,117600,31081
63665.1,105700,26261
75897.42,135700,47631
61812.51,107800,34690
62331.73,119800,44630
81701.81,137400,49970
76971.15,147300,53000
80346.48,142800,49116
53216.18,123000,6810
49392.3,111500,6838
48071.31,112500,6689
55390.45,116500,6782
51361.88,97500,6810
41652.24,102500,6760
63917.39,111000,6938
55168.11,88500,6748
77440.46,87900,26450
77653.15,127300,47317
59922.67,111000,29458
78814.8,100500,35324
78436.88,96200,24825
60497.51,107300,32250
69416.15,101000,35546
83053.51,109700,38580
77729.18,103800,28700
56197.77,86800,26252
87964.15,106700,28030
74923.28,98200,28233
63240.6,90600,22490
41804.07,94800,33600
82106.43,136000,47750
60954.17,103700,29900
72244.37,107400,33480
61585.03,90100,24300
74848.68,106000,41333
75295.69,108500,46586
74851.88,136800,49341
60753.22,106700,28630
69175.72,125100,37124
64352.24,106600,31389
53129.58,90900,23800
86845.1,94200,28740
78806.42,123900,49120
81308.04,101000,24113
63735.93,108700,30690
69749.7,108000,38680
55015.93,101600,8057
60485.06,88200,7719
86057.23,99400,7808
70013.16,109100,8996
71392.67,130500,9053
63949.26,117300,9381
76205.23,127100,8855
63414.84,121500,7848
53376.47,114100,7759
61824.2,103200,7904
"554,849,017,669",0,
60720.74,105000,8074
69095.17,120600,8113
72171.58,112400,7737
67183.32,108700,7870
60525.69,110300,7934
76919.71,108200,8267
73417.13,99500,7643
61507.99,108600,7850
80060.6,111300,7809
75289.41,119500,43318
76831.57,122000,1107
80899.18,140500,51250
78955.6,106500,35000
61992.22,101100,37500
78671.25,122900,39530
61267.04,115700,6852
54814.93,95900,27941
63374.1,102100,18500
56906.03,100700,28820
60564.51,99000,28730
53634.23,77300,23400
76036.21,135500,46966
78468.48,145000,49241
57608.05,105300,6580
47337.89,84400,4657
81102.4,121100,32172
49808.38,87000,4885
54757.84,97700,28280
63893.94,89200,26900
63207.13,111300,32430
58700.84,99000,32140
56558.51,91200,29382
66301.42,103600,33730
58239.21,95500,30530
61225.9,96000,24220
51727.18,90900,18400
56398.61,91000,5972
56376.64,115900,6605
66893.88,134300,8591
65762.02,109300,6532
60658.11,103500,6745
57501.19,87900,5755
68862.71,110800,8983
64180.75,126400,8581
57249.1,87800,28150
62176.12,116200,6691
63605.3,86800,25850
49520.51,92600,5564
62403.22,93100,27125
69597.25,106400,32560
57856.71,74100,17890
"59,058,111,926,236",0,
64861.88,91800,24390
70885.71,112000,32560
65044.99,104000,27930
54716.68,87000,5707
56230.92,103200,6623
46555.21,95100,6172
51493.83,104400,19870
50623.12,106600,16685
47057.03,99900,6390
56722.24,108800,7965
55831.54,109100,8098
48927.68,96100,6800
58778.75,104900,10509
64491.65,104500,20242
59827.57,97200,30168
63749.73,101200,10796
64246.32,113300,32830
69873.4,139800,44560
67472.37,116900,27206
48898.06,77700,6246
61572.26,100500,15966
64722.83,116500,11000
66493.97,108300,38487
57782.89,102800,9696
75690.27,118700,39090
61079.24,98400,31082
61890.4,104700,31508
61648.4,103300,28500
68368.11,112700,37180
59479.84,106700,10012
77995.25,133500,49140
63624.4,98900,29162
59351.8,98300,19370
58701.03,102900,27960
58715.65,110000,34300
72182.76,125900,14287
61044.98,107800,28550
60597.42,104700,25748
57566.05,98400,25776
76190.1,135700,50582
65362.52,100900,30270
63536.16,115800,28810
65208.79,129500,10037
59563.35,110800,11548
"67,882,112,031,624",0,
66586.04,116500,24780
60626.38,106900,9547
58418.76,96500,22012
60793.02,96600,24500
69911.54,123700,44950
61970.64,103400,8730
68472.8,111100,35080
51307.51,98100,8317
44521.89,85600,14500
54764.86,101000,6096
